time,x,y,psi,u,v,r,throttle,rudder_angle_deg
0.0,0.0010574029855560546,0.0,0.0,0.02114805971112109,0.0,0.0,0.8,0.0
0.05,0.0031704081603877213,0.0,0.0,0.04226010349663333,0.0,0.0,0.8,0.0
0.1,0.0063371693002706436,0.0,0.0,0.06333522279765844,0.0,0.0,0.8,0.0
0.15000000000000002,0.010555795083589468,0.0,0.0,0.08437251566637649,0.0,0.0,0.8,0.0
0.2,0.01582434942916355,0.0,0.0,0.10537108691148163,0.0,0.0,0.8,0.0
0.25,0.022140851841219177,0.0,0.0,0.12633004824111252,0.0,0.0,0.8,0.0
0.3,0.02950327776137985,0.0,0.0,0.1472485184032134,0.0,0.0,0.8,0.0
0.35,0.03790955892754401,0.0,0.0,0.16812562332328312,0.0,0.0,0.8,0.0
0.39999999999999997,0.04735758373951757,0.0,0.0,0.1889604962394711,0.0,0.0,0.8,0.0
0.44999999999999996,0.05784519763126661,0.0,0.0,0.20975227783498085,0.0,0.0,0.8,0.0
0.49999999999999994,0.06937020344965379,0.0,0.0,0.23050011636774365,0.0,0.0,0.8,0.0
0.5499999999999999,0.08193036183952009,0.0,0.0,0.2512031677973258,0.0,0.0,0.8,0.0
0.6,0.09552339163497188,0.0,0.0,0.27186059590903583,0.0,0.0,0.8,0.0
0.65,0.1101469702567318,0.0,0.0,0.29247157243519833,0.0,0.0,0.8,0.0
0.7000000000000001,0.12579873411541,0.0,0.0,0.3130352771735644,0.0,0.0,0.8,0.0
0.7500000000000001,0.14247627902055143,0.0,0.0,0.3335508981028283,0.0,0.0,0.8,0.0
0.8000000000000002,0.16017716059531265,0.0,0.0,0.3540176314952241,0.0,0.0,0.8,0.0
0.8500000000000002,0.17889889469662143,0.0,0.0,0.3744346820261758,0.0,0.0,0.8,0.0
0.9000000000000002,0.1986389578406703,0.0,0.0,0.3948012628809771,0.0,0.0,0.8,0.0
0.9500000000000003,0.2193947876335942,0.0,0.0,0.41511659585847865,0.0,0.0,0.8,0.0
1.0000000000000002,0.24116378320718232,0.0,0.0,0.4353799114717621,0.0,0.0,0.8,0.0
1.0500000000000003,0.26394330565947144,0.0,0.0,0.4555904490457823,0.0,0.0,0.8,0.0
1.1000000000000003,0.28773067850006945,0.0,0.0,0.47574745681196057,0.0,0.0,0.8,0.0
1.1500000000000004,0.31252318810005514,0.0,0.0,0.4958501919997135,0.0,0.0,0.8,0.0
1.2000000000000004,0.3383180841463003,0.0,0.0,0.5158979209249037,0.0,0.0,0.8,0.0
1.2500000000000004,0.36511258010006037,0.0,0.0,0.5358899190752011,0.0,0.0,0.8,0.0
1.3000000000000005,0.39290385365967756,0.0,0.0,0.5558254711923435,0.0,0.0,0.8,0.0
1.3500000000000005,0.42168904722724204,0.0,0.0,0.5757038713512892,0.0,0.0,0.8,0.0
1.4000000000000006,0.45146526837905476,0.0,0.0,0.5955244230362539,0.0,0.0,0.8,0.0
1.4500000000000006,0.4822295903397361,0.0,0.0,0.6152864392136268,0.0,0.0,0.8,0.0
1.5000000000000007,0.5139790524598243,0.0,0.0,0.6349892424017636,0.0,0.0,0.8,0.0
1.5500000000000007,0.5467106606967069,0.0,0.0,0.6546321647376525,0.0,0.0,0.8,0.0
1.6000000000000008,0.5804213880987297,0.0,0.0,0.6742145480404549,0.0,0.0,0.8,0.0
1.6500000000000008,0.6151081752923258,0.0,0.0,0.6937357438719209,0.0,0.0,0.8,0.0
1.7000000000000008,0.6507679309720099,0.0,0.0,0.7131951135936841,0.0,0.0,0.8,0.0
1.7500000000000009,0.6873975323930818,0.0,0.0,0.732592028421438,0.0,0.0,0.8,0.0
1.800000000000001,0.7249938258668819,0.0,0.0,0.7519258694760024,0.0,0.0,0.8,0.0
1.850000000000001,0.7635536272584462,0.0,0.0,0.7711960278312865,0.0,0.0,0.8,0.0
1.900000000000001,0.8030737224864041,0.0,0.0,0.7904019045591577,0.0,0.0,0.8,0.0
1.950000000000001,0.8435508680249654,0.0,0.0,0.8095429107712268,0.0,0.0,0.8,0.0
2.000000000000001,0.8849817914078435,0.0,0.0,0.8286184676575622,0.0,0.0,0.8,0.0
2.0500000000000007,0.9273631917339609,0.0,0.0,0.847628006522347,0.0,0.0,0.8,0.0
2.1000000000000005,0.9706917401747854,0.0,0.0,0.8665709688164923,0.0,0.0,0.8,0.0
2.1500000000000004,1.0149640804831468,0.0,0.0,0.8854468061672249,0.0,0.0,0.8,0.0
2.2,1.0601768295033802,0.0,0.0,0.9042549804046668,0.0,0.0,0.8,0.0
2.25,1.1063265776826514,0.0,0.0,0.9229949635854241,0.0,0.0,0.8,0.0
2.3,1.1534098895833118,0.0,0.0,0.9416662380132081,0.0,0.0,0.8,0.0
