# Table format: T1D
# axis1_title = X1
# axis2_title = X2
# axis3_title = Y
     9.00000000000000e+02     6
     8.00000000000000e+00      4.00000000000000e-01
     1.60000000000000e+01      3.50000000000000e-01
     2.40000000000000e+01      3.00000000000000e-01
     3.20000000000000e+01      2.00000000000000e-01
     3.80000000000000e+01      1.00000000000000e-01
     4.10000000000000e+01      2.00000000000000e-02
     1.10000000000000e+03     6
     1.00000000000000e+01      6.00000000000000e-01
     2.00000000000000e+01      5.20000000000000e-01
     3.00000000000000e+01      4.00000000000000e-01
     4.00000000000000e+01      2.50000000000000e-01
     4.55000000000000e+01      1.00000000000000e-01
     4.90000000000000e+01      2.00000000000000e-02
     1.35000000000000e+03     6
     1.20000000000000e+01      8.50000000000000e-01
     2.40000000000000e+01      7.50000000000000e-01
     3.60000000000000e+01      6.00000000000000e-01
     4.80000000000000e+01      4.00000000000000e-01
     5.40000000000000e+01      2.00000000000000e-01
     5.70000000000000e+01      2.00000000000000e-02
     1.55000000000000e+03     6
     1.40000000000000e+01      1.05000000000000e+00
     2.80000000000000e+01      9.50000000000000e-01
     4.20000000000000e+01      7.50000000000000e-01
     5.60000000000000e+01      5.00000000000000e-01
     6.25000000000000e+01      2.50000000000000e-01
     6.50000000000000e+01      2.00000000000000e-02
     1.75000000000000e+03     6
     1.50000000000000e+01      1.30000000000000e+00
     3.00000000000000e+01      1.15000000000000e+00
     4.50000000000000e+01      9.50000000000000e-01
     6.00000000000000e+01      6.00000000000000e-01
     6.70000000000000e+01      3.00000000000000e-01
     7.00000000000000e+01      2.00000000000000e-02
     1.90000000000000e+03     6
     1.60000000000000e+01      1.50000000000000e+00
     3.20000000000000e+01      1.30000000000000e+00
     4.80000000000000e+01      1.05000000000000e+00
     6.40000000000000e+01      7.50000000000000e-01
     7.10000000000000e+01      4.00000000000000e-01
     7.40000000000000e+01      2.00000000000000e-02
     2.10000000000000e+03     6
     1.76842105263158e+01      1.83240997229917e+00
     3.53684210526316e+01      1.58808864265928e+00
     5.30526315789474e+01      1.28268698060942e+00
     7.07368421052632e+01      9.16204986149585e-01
     7.84736842105263e+01      4.88642659279779e-01
     8.17894736842105e+01      2.44321329639889e-02
     2.25000000000000e+03     6
     1.89473684210526e+01      2.10353185595568e+00
     3.78947368421053e+01      1.82306094182825e+00
     5.68421052631579e+01      1.47247229916897e+00
     7.57894736842105e+01      1.05176592797784e+00
     8.40789473684210e+01      5.60941828254848e-01
     8.76315789473684e+01      2.80470914127424e-02
     2.40000000000000e+03     6
     2.02105263157895e+01      2.39335180055402e+00
     4.04210526315789e+01      2.07423822714681e+00
     6.06315789473684e+01      1.67534626038781e+00
     8.08421052631579e+01      1.19667590027701e+00
     8.96842105263158e+01      6.38227146814404e-01
     9.34736842105263e+01      3.19113573407202e-02
     2.50000000000000e+03     6
     2.10526315789474e+01      2.59695290858726e+00
     4.21052631578947e+01      2.25069252077562e+00
     6.31578947368421e+01      1.81786703601108e+00
     8.42105263157895e+01      1.29847645429363e+00
     9.34210526315790e+01      6.92520775623269e-01
     9.73684210526316e+01      3.46260387811634e-02
